,tragedy_id,tragedy_title,id,betweenness,degree,closeness,weightedDegree,eigenvector,numOfScenes,numOfSpeechActs,numOfWords,degree_rank,closeness_rank,betweenness_rank,weightedDegree_rank,eigenvector_rank,numOfScenes_rank,numOfSpeechActs_rank,numOfWords_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank
36,greek000004,Eumenides,pythias,0.0,4,0.6944444444444445,4,0.3917471358756897,1,1,362,4.0,4.0,4.0,5.0,4.0,5.0,7.0,5.0,4.75,1.0350983390135313,6.0,3.0
37,greek000004,Eumenides,apollon,0.04444444444444444,5,0.8333333333333334,9,0.447620720284473,3,25,820,1.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,2.125,1.246423454758225,2.0,5.0
38,greek000004,Eumenides,orestes,0.04444444444444444,5,0.8333333333333334,11,0.447620720284473,4,18,596,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,2.125,1.3562026818605375,2.0,6.0
39,greek000004,Eumenides,klytaimestras_eidolon,0.0,4,0.6944444444444445,4,0.3917471358756897,1,6,222,4.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,4.625,0.7440238091428449,5.0,2.0
40,greek000004,Eumenides,choros,0.04444444444444444,5,0.8333333333333334,14,0.447620720284473,10,98,1917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
41,greek000004,Eumenides,athena,0.0,3,0.5952380952380952,8,0.30327452148574335,6,35,1349,6.0,6.0,4.0,4.0,6.0,2.0,2.0,2.0,4.0,1.8516401995451028,4.0,7.0
42,greek000004,Eumenides,propompoi,0.0,0,0.0,0,1.0064411054251617e-07,1,4,64,7.0,7.0,4.0,7.0,7.0,5.0,6.0,7.0,6.25,1.164964745021435,7.0,4.0
43,greek000026,Agamemnon,phylax,0.0,1,0.5454545454545454,1,0.1434730496114125,1,1,210,7.0,7.0,3.0,7.0,7.0,5.0,7.0,7.0,6.25,1.4880476182856899,7.0,7.0
44,greek000026,Agamemnon,choros,0.5,6,1.0,15,0.5309786650442299,14,124,3617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
45,greek000026,Agamemnon,klytaimestra,0.16666666666666666,5,0.8571428571428571,13,0.5004581136421644,9,33,1786,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.125,0.3535533905932738,2.0,2.0
46,greek000026,Agamemnon,keryx,0.0,2,0.6,2,0.27869881641307853,1,14,743,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.5,0.7559289460184544,5.0,4.0
47,greek000026,Agamemnon,agamemnon,0.0,3,0.6666666666666666,5,0.3818852951166577,2,11,475,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.5,0.9258200997725514,4.0,5.0
48,greek000026,Agamemnon,kasandra,0.0,3,0.6666666666666666,4,0.3818852951166577,2,37,945,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,0.5345224838248488,3.0,3.0
49,greek000026,Agamemnon,aigisthos,0.0,2,0.6,2,0.27869881641307853,1,10,379,5.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,5.0,0.9258200997725514,6.0,5.0
50,greek000019,The Trojan Women,poseidon,0.0,1,0.1,1,9.305081708044669e-07,1,11,435,10.0,10.0,4.0,10.0,10.0,4.0,5.0,6.0,7.375,2.8753881725529062,10.0,10.0
51,greek000019,The Trojan Women,athena,0.0,1,0.1,1,9.305081708044669e-07,1,10,157,10.0,10.0,4.0,10.0,10.0,4.0,6.0,9.0,7.875,2.748376143938713,11.0,9.0
52,greek000019,The Trojan Women,hekabe,0.18518518518518517,8,0.8,14,0.49369481343421895,5,79,2404,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.125,0.3535533905932738,1.0,1.0
53,greek000019,The Trojan Women,hemichorion_a,0.0,3,0.49230769230769234,3,0.2580483682681515,1,3,55,4.0,4.0,4.0,4.0,6.0,4.0,10.0,10.0,5.75,2.712405363721075,8.0,8.0
54,greek000019,The Trojan Women,hemichorion_b,0.0,3,0.49230769230769234,3,0.2580483682681515,1,3,51,4.0,4.0,4.0,4.0,6.0,4.0,10.0,11.0,5.875,2.948970764763288,9.0,11.0
55,greek000019,The Trojan Women,choros,0.18518518518518517,8,0.8,14,0.49369481343421895,8,47,1178,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.25,0.4629100498862757,2.0,4.0
56,greek000019,The Trojan Women,talthybios,0.007407407407407408,4,0.5333333333333333,8,0.31653606612808094,3,28,751,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.125,0.3535533905932738,3.0,1.0
57,greek000019,The Trojan Women,kasandra,0.0,3,0.49230769230769234,3,0.2701665595066391,1,4,730,4.0,4.0,4.0,4.0,4.0,4.0,8.0,5.0,4.625,1.407885953173359,5.0,5.0
58,greek000019,The Trojan Women,andromache,0.0,3,0.49230769230769234,3,0.2701665595066391,1,31,736,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.875,0.3535533905932738,4.0,1.0
59,greek000019,The Trojan Women,menelaos,0.0,3,0.49230769230769234,3,0.2580483682681515,1,9,311,4.0,4.0,4.0,4.0,6.0,4.0,7.0,8.0,5.125,1.6420805617960927,6.0,6.0
60,greek000019,The Trojan Women,helene,0.0,3,0.49230769230769234,3,0.2580483682681515,1,4,395,4.0,4.0,4.0,4.0,6.0,4.0,8.0,7.0,5.125,1.6420805617960927,6.0,6.0
61,greek000006,Suppliants,aithra,0.0,3,0.6,3,0.2996419209408084,2,10,522,4.0,4.0,4.0,4.0,4.0,4.0,8.0,5.0,4.625,1.407885953173359,4.0,6.0
62,greek000006,Suppliants,choros,0.6388888888888888,9,1.0,17,0.5173506606102288,12,60,1326,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.375,0.7440238091428449,1.0,2.0
63,greek000006,Suppliants,theseus,0.027777777777777776,5,0.6923076923076923,11,0.4072189963989983,4,61,2025,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.5,0.9258200997725514,3.0,3.0
64,greek000006,Suppliants,adrastos,0.08333333333333333,6,0.75,14,0.4450146387341822,6,61,1196,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.5345224838248488,2.0,1.0
65,greek000006,Suppliants,keryx,0.0,3,0.6,3,0.2996419209408084,1,11,474,4.0,4.0,4.0,4.0,4.0,5.0,7.0,6.0,4.75,1.164964745021435,5.0,4.0
66,greek000006,Suppliants,angelos,0.0,2,0.5625,2,0.21054941691016163,1,13,587,7.0,7.0,4.0,7.0,7.0,5.0,5.0,4.0,5.75,1.3887301496588271,7.0,5.0
67,greek000006,Suppliants,euadne,0.0,2,0.5625,2,0.14488713703308234,1,13,237,7.0,7.0,4.0,7.0,8.0,5.0,5.0,9.0,6.5,1.6903085094570331,9.0,8.0
68,greek000006,Suppliants,iphis,0.0,2,0.5625,2,0.14488713703308234,1,14,360,7.0,7.0,4.0,7.0,8.0,5.0,4.0,7.0,6.125,1.5526475085202969,8.0,7.0
69,greek000006,Suppliants,paides,0.0,1,0.5294117647058824,1,0.11318785260993953,1,10,110,10.0,10.0,4.0,10.0,10.0,5.0,8.0,10.0,8.375,2.5035688811888406,10.0,10.0
70,greek000006,Suppliants,athena,0.0,3,0.6,3,0.2996419209408084,1,1,262,4.0,4.0,4.0,4.0,4.0,5.0,10.0,8.0,5.375,2.326094212561969,6.0,9.0
71,greek000031,Rhesus,choros,0.6212121212121212,12,1.0,16,0.5431617424142883,10,55,1334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.125,0.3535533905932738,1.0,1.0
